palabra,pagina,palabra_busqueda,cantidad,fechaini,fechafin
galerias,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
promo,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
videos,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
veanos,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
equipo,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
https,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
school,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
comes,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
noticiasviral,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
reino,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
unido,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
francia,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
atacan,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
siria,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
crisis,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
diplomatica,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
entre,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
moscu,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
londres,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
mundial,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
rusia,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
armamento,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
ciencia,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
veanos,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
telegram,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
instagram,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
youtube,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
twitter,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
facebook,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
equipo,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
imprimir,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
https,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
comrj,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
portada,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
actualidad,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
argentina,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
gobierno,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
estaria,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
dispuesto,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
modificar,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
alza,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
impuestos,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
publicado,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
propuesta,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
ahora,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
anunciada,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
macri,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
seria,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
respuesta,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
descontento,https://actualidad.rt.com/actualidad/268964-argentina-gobierno-dispuesto-modificar-tarifas,impuestos+argentina,1,20180418,20180418
