palabra,pagina,palabra_busqueda,cantidad,fechaini,fechafin
link,http://www.iprofesional.com/notas/267011-impuestos-argentina-industria-inflacion-ropa-america-latina-ranking-mercado-tipo-de-cambio-moda-precio-valor-costos-textil-indumentaria-otros-El-precio-de-la-ropa-en-America-latina-la-Argentina-es-el-pais-mas-caro-para-vestirse-en-la-region,impuestos+argentina,1,20180420,20180420
canonical,http://www.iprofesional.com/notas/267011-impuestos-argentina-industria-inflacion-ropa-america-latina-ranking-mercado-tipo-de-cambio-moda-precio-valor-costos-textil-indumentaria-otros-El-precio-de-la-ropa-en-America-latina-la-Argentina-es-el-pais-mas-caro-para-vestirse-en-la-region,impuestos+argentina,1,20180420,20180420
link,http://www.iprofesional.com/notas/267011-impuestos-argentina-industria-inflacion-ropa-america-latina-ranking-mercado-tipo-de-cambio-moda-precio-valor-costos-textil-indumentaria-otros-El-precio-de-la-ropa-en-America-latina-la-Argentina-es-el-pais-mas-caro-para-vestirse-en-la-region,impuestos+argentina,1,20180420,20180420
amphtml,http://www.iprofesional.com/notas/267011-impuestos-argentina-industria-inflacion-ropa-america-latina-ranking-mercado-tipo-de-cambio-moda-precio-valor-costos-textil-indumentaria-otros-El-precio-de-la-ropa-en-America-latina-la-Argentina-es-el-pais-mas-caro-para-vestirse-en-la-region,impuestos+argentina,1,20180420,20180420
home,http://www.iprofesional.com/notas/267011-impuestos-argentina-industria-inflacion-ropa-america-latina-ranking-mercado-tipo-de-cambio-moda-precio-valor-costos-textil-indumentaria-otros-El-precio-de-la-ropa-en-America-latina-la-Argentina-es-el-pais-mas-caro-para-vestirse-en-la-region,impuestos+argentina,1,20180420,20180420
economia,http://www.iprofesional.com/notas/267011-impuestos-argentina-industria-inflacion-ropa-america-latina-ranking-mercado-tipo-de-cambio-moda-precio-valor-costos-textil-indumentaria-otros-El-precio-de-la-ropa-en-America-latina-la-Argentina-es-el-pais-mas-caro-para-vestirse-en-la-region,impuestos+argentina,1,20180420,20180420
finanzas,http://www.iprofesional.com/notas/267011-impuestos-argentina-industria-inflacion-ropa-america-latina-ranking-mercado-tipo-de-cambio-moda-precio-valor-costos-textil-indumentaria-otros-El-precio-de-la-ropa-en-America-latina-la-Argentina-es-el-pais-mas-caro-para-vestirse-en-la-region,impuestos+argentina,1,20180420,20180420
impuestos,http://www.iprofesional.com/notas/267011-impuestos-argentina-industria-inflacion-ropa-america-latina-ranking-mercado-tipo-de-cambio-moda-precio-valor-costos-textil-indumentaria-otros-El-precio-de-la-ropa-en-America-latina-la-Argentina-es-el-pais-mas-caro-para-vestirse-en-la-region,impuestos+argentina,1,20180420,20180420
legales,http://www.iprofesional.com/notas/267011-impuestos-argentina-industria-inflacion-ropa-america-latina-ranking-mercado-tipo-de-cambio-moda-precio-valor-costos-textil-indumentaria-otros-El-precio-de-la-ropa-en-America-latina-la-Argentina-es-el-pais-mas-caro-para-vestirse-en-la-region,impuestos+argentina,1,20180420,20180420
negocios,http://www.iprofesional.com/notas/267011-impuestos-argentina-industria-inflacion-ropa-america-latina-ranking-mercado-tipo-de-cambio-moda-precio-valor-costos-textil-indumentaria-otros-El-precio-de-la-ropa-en-America-latina-la-Argentina-es-el-pais-mas-caro-para-vestirse-en-la-region,impuestos+argentina,1,20180420,20180420
